date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-08-17,Millie Morgan,1,1,0,5745,-1,44,18,6,64,551.843165174939,65
2025-08-17,Alex Coal,2,2,0,9832,33,42,20,5,64,544.521800281294,70
2025-08-17,Katrina Colt,3,3,0,6273,7,38,22,2,59,508.26766956314754,59
2025-08-17,Chanel Camryn,4,4,0,5041,1,30,22,2,54,427.09900648761356,47
2025-08-17,Eva Lovia,5,5,0,8392,7,31,19,2,48,425.4228770489083,48
2025-08-17,Jia Lissa,6,6,0,4627,45,31,12,3,41,387.05908574887934,43
2025-08-17,Adriana Chechik,7,7,0,6953,47,31,11,2,41,383.3967008613912,39
2025-08-17,Abigail Mac,8,8,0,7117,54,25,15,2,39,343.46505025640323,41
2025-08-17,Aidra Fox,9,9,0,6438,143,23,18,4,41,338.522690053661,49
2025-08-17,Octavia Red,10,10,0,4318,33,22,19,5,46,333.91358221782775,47
2025-08-17,Alexis Crystal,11,11,0,3893,0,23,14,5,39,318.94545523729744,38
2025-08-17,Antonia Sainz,12,12,0,4106,41,25,8,1,29,304.58544217967335,36
2025-08-17,Jessica Ryan,13,13,0,3156,54,21,16,1,35,303.43636840123645,38
2025-08-17,Kira Queen,14,14,0,4251,19,13,29,9,49,298.04234315115605,53
2025-08-17,Josephine Jackson,15,18,3,3059,-1,19,17,3,37,291.1112693246542,36
2025-08-17,Tori Black,16,15,-1,3817,208,26,4,0,23,290.94269951786356,31
2025-08-17,Cassidy Klein,17,16,-1,7842,127,20,14,3,31,289.17571545136923,37
2025-08-17,Lady Lyne,18,17,-1,3368,3,18,18,4,36,287.36929043657784,40
2025-08-17,Sybil A,19,19,0,3955,62,22,8,6,34,279.1365033834238,36
2025-08-17,Vintage,20,20,0,1016,81,14,24,9,0,278.8800552517169,120
2025-08-17,Cory Chase,21,21,0,6072,86,20,11,4,36,273.95212395244323,36
2025-08-17,Laney Grey,22,22,0,2978,33,20,11,3,32,270.5506855538733,33
2025-08-17,Anya Olsen,23,23,0,5605,6,19,12,4,34,269.6023201029046,36
2025-08-17,Aubree Valentine,24,24,0,3530,19,19,12,4,37,267.3090233789835,35
2025-08-17,Nephael,25,25,0,359,27,21,8,1,28,260.9713227224402,9
2025-08-17,Betzz,26,26,0,3684,6,20,7,1,23,249.64849585554904,28
2025-08-17,Lily LaBeau,27,27,0,4317,7,20,6,0,23,244.2782472685991,26
2025-08-17,Anita Rover,28,31,3,1256,-1,14,18,3,27,244.27746135069162,25
2025-08-17,Cadence Lux,29,28,-1,2365,110,18,10,1,28,241.84422946857416,29
2025-08-17,Little Caprice,30,29,-1,1574,54,17,12,0,27,240.82733666812004,26
2025-08-17,Ella Hughes,31,30,-1,6182,33,15,14,2,30,237.8094325026121,29
2025-08-17,Serenity Cox,32,32,0,824,7,18,8,1,21,231.7255621587537,12
2025-08-17,Flashing Emma,33,33,0,226,47,18,3,0,4,204.55475619092744,1
2025-08-17,CHARLIE FORDE,34,35,1,1983,-1,14,10,2,21,204.01688364524003,21
2025-08-17,REBECCA VOLPETTI,35,36,1,3039,-1,11,15,5,21,203.09092758340114,29
2025-08-17,Katie Kush,36,34,-2,3118,1,12,13,1,27,199.14314806613268,26
2025-08-17,Crystal Clark,37,37,0,3774,31,12,10,6,27,189.38841625096273,28
2025-08-17,Full Movies,38,38,0,873,31,8,18,3,0,183.43784668220766,58
2025-08-17,Melissa sexy hippies,39,39,0,101,2,15,4,0,17,180.06053170050092,1
2025-08-17,Stacy Cruz,40,40,0,2852,124,12,9,3,24,179.14264510155994,26
2025-08-17,Lexi Luna,41,41,0,2789,64,11,10,4,23,175.9224504731529,28
2025-08-17,Olive Glass,42,42,0,2503,45,10,12,4,24,175.89879282780532,28
2025-08-17,Gal Ritchie,43,43,0,1860,6,13,6,1,19,172.79332905327075,20
2025-08-17,Jessie and Jackson,44,44,0,47,53,13,6,1,9,170.28830942105859,1
2025-08-17,Penny Barber,45,45,0,2391,2,6,18,5,28,167.38966107397528,30
2025-08-17,Brett Rossi,46,46,0,3171,277,13,5,2,20,166.3151971403689,20
